GROUP_DATE,INCIDENT_DATETIME,INITIAL_SEVERITY_LEVEL_CODE
01/01/2016,4879,4.139372822299651
01/01/2017,4928,4.19622564935065
01/01/2018,4653,4.137975499677627
01/02/2016,3439,4.165455074149462
01/02/2017,3685,4.181818181818182
01/02/2018,4242,4.166666666666667
01/03/2016,3433,4.230702009903874
01/03/2017,4302,4.205485820548582
01/03/2018,4602,4.228161668839635
01/04/2016,3707,4.241704882654438
01/04/2017,4450,4.290337078651685
01/04/2018,4000,4.252
01/05/2016,3614,4.215273934698395
01/05/2017,3957,4.29618397776093
01/05/2018,4873,4.352349681920788
01/06/2016,3913,4.2967032967032965
01/06/2017,4097,4.317305345374664
01/06/2018,4427,4.264513214366388
01/07/2016,3862,4.228896944588296
01/07/2017,3948,4.334853090172239
01/07/2018,4045,4.204202719406675
01/08/2016,3874,4.2480640165203924
01/08/2017,3634,4.283984589983489
01/08/2018,4666,4.264894984997857
01/09/2016,3765,4.242762284196547
01/09/2017,4258,4.256693283231564
01/09/2018,4622,4.233448723496322
01/10/2016,3492,4.1815578465063
01/10/2017,4152,4.270472061657033
01/10/2018,4610,4.259002169197397
01/11/2016,3789,4.217471628397994
01/11/2017,4310,4.251972157772622
01/11/2018,4630,4.2539956803455725
01/12/2016,3702,4.266342517558077
01/12/2017,4407,4.294985250737463
01/12/2018,4775,4.227225130890052
01/13/2016,3718,4.240182894029048
01/13/2017,4073,4.260495948931991
01/13/2018,4108,4.233690360272639
01/14/2016,3709,4.2601779455378805
01/14/2017,3663,4.177996177996178
01/14/2018,3741,4.209035017375033
01/15/2016,3858,4.215396578538103
01/15/2017,3627,4.228839261097326
01/15/2018,3932,4.2576297049847405
01/16/2016,3652,4.1645673603504925
01/16/2017,3743,4.209724819663371
01/16/2018,4379,4.261018497373829
01/17/2016,3472,4.168778801843318
01/17/2017,4019,4.238616571286389
01/17/2018,3978,4.344142785319256
01/18/2016,3484,4.262342135476464
01/18/2017,3845,4.300130039011703
01/18/2018,4193,4.253517767708085
01/19/2016,3885,4.245302445302445
01/19/2017,4057,4.183386738969682
01/19/2018,4188,4.226838586437441
01/20/2016,3770,4.241114058355437
01/20/2017,4113,4.238268903476781
01/20/2018,4161,4.220620043258832
01/21/2016,3758,4.237892496008516
01/21/2017,3874,4.185854414042334
01/21/2018,3976,4.260814889336016
01/22/2016,3905,4.251472471190781
01/22/2017,3729,4.27219093590775
01/22/2018,4526,4.279275298276624
01/23/2016,3994,4.270155232849274
01/23/2017,4106,4.3037018996590355
01/23/2018,4289,4.28374912567032
01/24/2016,3982,4.181064791562029
01/24/2017,3863,4.290447838467513
01/24/2018,4202,4.287482151356497
